TITLE,"Catullus, Carmina",LOCALDEF
DISPICIO,66_1,look around; investigate
DISPLICEO,54_4,be displeasing or offensive (+ dat.)
DISSOLVO,66_38,"break up; pay, discharge"
DISTINCTVS/2,64_90,"separate, different, distinct"
DIV,"2_b_3, 28_9, 61_126, 61_132, 61_201, 62_2, 95_6",for a long time
DIVA,"25_5, 63_25, 64_8, 64_47, 64_212, 64_373, 66_64, 68_70","goddess; any female immortal, e.g., the sea nymph Thetis"
DIVELLO,64_257,tear apart
DIVERSVS,46_11,turned or headed in different directions
DIVES,"61_92, 114_1, 114_5","wealthy, rich"
DIVIDO,"62_15, 64_179","separate, divide"
DIVINVS/2,"64_321, 64_383",divine
DIVITIAE,"24_4, 68_121, 115_3",riches
DIVVS/2,"36_10, 51_2, 62_30, 64_27, 64_103, 64_134, 64_190, 64_268, 64_298, 64_387, 64_393, 64_404, 66_18, 66_33, 66_69, 68_115, 68_141, 68_153, 76_4, 90_5, 66_89","divine, holy"
DO,"2_3, 5_7, 13_11, 14_6, 14_9, 17_7, 24_4, 28_8, 28_15, 36_7, 44_9, 61_67, 61_72, 61_131, 61_135, 61_140, 61_212, 62_30, 62_63, 62_65, 64_79, 64_139, 64_152, 64_214, 64_366, 68_51, 68_68, 68_145, 68_147, 68_157, 95_8, 108_4, 110_4, 110_6, 116_8","give, pay"
DOCEO,"66_19, 68_80, 68_118","tell, inform; teach"
DOCTVS,"1_7, 35_17, 65_2",learned
DOLEO,"8_14, 21_10, 34_13, 63_73, 78_b_1","suffer pain, grieve, hurt; impers., cause pain, rankle"
DOLOR,"2_7, 50_17, 65_1, 96_2, 96_5","pain, distress"
DOLVS,23_10,a guilty act or intention; trickery; plot
DOMINA,"3_10, 34_9, 35_14, 61_31, 63_13, 63_91, 66_76, 68_68, 68_156",mistress
DOMINVS,"45_14, 61_92, 61_129, 63_51, 67_8, 67_38",master
DOMO,64_110,subdue
DOMVS,"9_3, 31_14, 32_7, 46_10, 61_31, 61_66, 61_156, 63_20, 63_35, 63_58, 63_66, 63_92, 64_32, 64_36, 64_46, 64_135, 64_246, 64_284, 64_334, 64_384, 67_24, 67_40, 68_22, 68_34, 68_68, 68_74, 68_94, 68_144, 68_156, 80_3, 117_2","home; house, family"
DONO,"1_1, 13_12, 62_23, 101_3","give, dedicate"
DONVM,"64_34, 64_279, 66_85, 68_14",gift
DORMIO,"5_6, 17_13",sleep
DORVS/N,64_287,ancestor of the Dorians
DOS,62_65,"a dowry, property brought by a bride to her husband as her portion of the new family's endowment"
DVBITO,"30_3, 67_18, 108_3","be in doubt; hesitate, scruple"
DVBIVS,64_216,"uncertain, doubtful; perilous"
DVCENTI,"26_4, 37_7, 37_8",two hundred
DVCENTIES,29_14,two hundred times
DVCO,"8_2, 8_4, 10_2, 64_29, 64_160, 64_327, 64_333, 64_337, 64_342, 64_347, 64_352, 64_356, 64_361, 64_365, 64_371, 64_375, 64_378, 64_381, 91_9","lead, take; take as one's wife; consider, reckon"
DVLCIS,"51_5, 61_219, 30_2, 32_1, 45_11, 46_9, 64_120, 64_157, 64_175, 64_210, 65_3, 66_6, 66_13, 66_33, 67_1, 68_7, 68_18, 68_24, 68_61, 68_96, 68_106, 68_160, 78_3, 99_2, 99_2, 100_4",sweet
DVM/2,"62_45, 62_56, 21_12, 44_9, 44_10, 44_14, 55_22, 61_161, 62_45, 62_56, 63_57, 64_145, 65_22, 66_77, 99_1, 99_5, 114_5","conj., as long as; (w. historical pres.) while; (w/ subjunctive) provided that; (w/ ind. or subj.) until"
DVMMODO,114_6,provided that
DVO,"47_1, 62_64, 113_1, 113_3",two
DVPLEX,68_51,"folded double; double, two–sided"
DVRITIES,66_50,hardness
DVRVS,"16_11, 23_21, 30_2, 60_3, 63_40","hard; harsh, pitiless; dull; wooden, heavy, solid"
DVX,"61_44, 63_15, 63_32, 63_34, 66_67",leader
DYRRACHIVM/N,36_15,"a town on the coast of Illyria, mod. Durazzo"
EBRIOSVS,27_4,addicted to drink
EBRIVS,"27_4, 45_11","intoxicated; metaph., drunk with love"
EBVR,64_45,ivory
ECQVID,88_4,"interr. pron., is there anyone (anything) that? anyone, anyhing, something"
ECQVISNAM,28_6, any one? anybody?
EDO/1,"4_12, 55_15, 64_306, 95_2","emit, bring forth, yield; publish"
EDO/2,"35_15, 91_6",eat/consume/devour
EDVCO/1,"62_41, 62_50","bring up, nurture"
EDVCO/2,64_90,bring out
EFFICIO,"66_92, 76_14, 98_6","make, cause to occur"
EFFIGIES,64_61,"statue, effigy"
EFFLO,64_263,"breathe out, emit, blast out"
EFFLVO,65_18,"flow out, slip away"
EFFODIO,108_5,dig or gouge out
EFFVSVS,64_391,"loose; disorderly, in disarray"
EFFVTVO,6_13,wear out with sexual intercourse
EGELIDVS,46_1,"thawed, unchilled, tepid, warm"
EGEO,114_6,"need; be in need, lack the necessities of life"
EGNATIVS/N,"37_19, 39_1, 39_9",Roman nomen gentile
EGO,"2_b_1, 3_15, 5_7, 7_1, 9_2, 9_5, 9_11, 10_1, 10_3, 10_8, 10_16, 10_17, 10_18, 10_21, 10_25, 10_28, 10_29, 10_31, 10_31, 10_32, 12_6, 12_11, 12_12, 12_15, 13_1, 14_4, 14_5, 14_10, 15_1, 15_5, 16_1, 16_3, 16_13, 16_14, 17_7, 21_7, 21_11, 22_4, 25_6, 27_2, 28_7, 28_9, 30_3, 30_5, 30_7, 30_8, 31_5, 35_11, 37_8, 37_11, 37_13, 39_9, 41_2, 42_3, 42_4, 44_8, 44_13, 44_15, 44_20, 44_21, 45_15, 48_2, 50_9, 51_1, 51_6, 51_7, 55_10, 56_6, 58_b_3, 58_b_7, 58_b_10, 61_196, 63_15, 63_15, 63_50, 63_51, 63_58, 63_62, 63_63, 63_63, 63_63, 63_63, 63_64, 63_64, 63_65, 63_65, 63_66, 63_67, 63_68, 63_69, 63_69, 63_69, 63_69, 63_70, 63_71, 64_24, 64_116, 64_132, 64_140, 64_149, 64_164, 64_177, 64_182, 64_188, 64_196, 64_200, 64_215, 64_216, 64_217, 64_219, 64_221, 65_1, 65_10, 66_7, 66_18, 66_19, 66_25, 66_33, 66_37, 66_55, 66_63, 66_69, 66_72, 66_73, 66_75, 66_76, 66_77, 66_82, 66_86, 66_91, 67_11, 67_14, 67_43, 68_1, 68_9, 68_9, 68_12, 68_15, 68_19, 68_20, 68_25, 68_31, 68_33, 68_35, 68_36, 68_40, 68_41, 68_51, 68_52, 68_77, 68_92, 68_143, 68_159, 68_159, 68_160, 70_2, 72_2, 72_6, 73_5, 73_6, 76_19, 76_20, 76_21, 76_23, 76_26, 77_1, 77_3, 83_1, 86_1, 86_2, 87_2, 91_1, 91_6, 92_1, 92_2, 92_2, 95_9, 97_1, 99_4, 99_5, 99_11, 99_13, 101_5, 101_6, 102_3, 102_4, 103_1, 104_1, 104_2, 107_4, 107_7, 109_1, 110_3, 116_4, 116_5","abbr. form of dat. mihi, to me; vocative masc. sg. of meus"
EGREDIOR,"64_74, 64_114","come out, depart"
EGREGIVS,"64_348, 67_29, 114_2","outstanding preeminent, illustrious"
EGRESSVS,64_185,"escape, egress, exit"
EHEV,"30_6, 64_61","interj., Alas!"
EI,"68_92, 68_93","interj., monosyllabic expression of anguish"
EICIO,"68_3, 105_2","throw out, expel, eject"
ELECTVS/2,"36_6, 64_78","select, choice"
ELEGANS,"13_10, 39_8, 43_4","discriminating, refined, elegant"
ELEVO/1,24_9,"raise; diminish, make light of"
ELVO,57_5,"wash clean, wash out"
EMATHIA/N,64_324,"district of Macedonia; in poetry, Thessaly"
EMERGO,64_14,"come out of the water, emerge"
EMORIOR,"52_1, 52_4","perish, die"
EMVLGEO,"68_110, 80_8",milk; draw off
EN,"55_12, 61_156","interjection, see! behold!"
ENIM/2,"12_8, 35_17, 63_62","postpos. part., emphasizing prec. word: for"
ENITEO,61_21,shine forth; be outstanding
EO/1,"3_11, 17_4, 17_9, 33_6, 35_9, 61_85, 61_123, 61_153, 63_12, 63_13, 63_19, 63_78, 64_109, 66_12, 68_86, 84_11",go
EO/3,66_57,"to that place, thither"
EOVS/N,11_3,the dawn god
EPHEBVS,63_63,"ephebe, a Greek youth (in Athenian law, between 18 and 20)"
EPISTOLIVM,68_2,short letter
EQVIDEM,108_3,"part., I for my part"
EQVVS,66_54,horse
ERECHTHEVS/N,"64_211, 64_229",legendary king of Athens
ERIPIO,"51_6, 64_150, 64_219, 65_8, 66_25, 68_106, 76_20, 77_4, 77_5, 82_3","snatch away, remove"
ERRABVNDVS,64_113,prone to err or make a wrong turning; wandering
ERRO/2,61_35,wander
ERROR,"22_20, 63_18, 64_115","a wandering; deviation, mistake"
ERVDITVLVS,57_7,"well–instructed, learned"
ERVO,64_108,"remove, uproot"
ERYCINA/N,64_72,"Venus, goddes of Mt. Eryx in Sicily"
ESVRIO/2,21_10,feel hunger; (metaph.) feel desire
ESVRITIO,"21_1, 23_14","hunger, appetite"
ET/2,"1_7, 2_4, 2_7, 2_8, 2_10, 3_2, 4_6, 4_13, 4_14, 4_18, 4_27, 5_4, 6_9, 6_9, 7_6, 7_10, 8_2, 10_8, 10_33, 11_1, 12_5, 12_16, 12_17, 13_5, 13_5, 13_5, 14_12, 15_4, 16_1, 16_2, 21_11, 22_2, 22_2, 22_8, 22_9, 23_3, 23_3, 23_6, 23_14, 23_14, 23_17, 23_21, 23_26, 25_9, 25_12, 26_4, 27_6, 28_2, 28_5, 29_2, 29_2, 29_4, 29_5, 29_6, 29_6, 29_9, 29_10, 29_10, 29_20, 31_6, 32_4, 32_10, 33_2, 33_7, 34_2, 34_15, 36_9, 36_19, 37_5, 37_15, 37_16, 37_20, 38_2, 38_3, 38_3, 42_4, 42_6, 42_10, 42_24, 43_8, 44_12, 44_13, 44_15, 44_15, 44_19, 45_11, 47_1, 47_3, 51_4, 51_15, 51_15, 54_3, 54_5, 56_1, 56_2, 56_4, 57_4, 57_9, 58_4, 58_b_9, 61_34, 61_97, 61_157, 61_204, 61_211, 61_222, 61_224, 61_233, 62_23, 62_58, 62_59, 63_17, 63_53, 63_54, 63_60, 63_68, 64_3, 64_62, 64_78, 64_150, 64_252, 64_291, 64_385, 66_49, 66_56, 66_65, 67_16, 67_24, 67_27, 67_35, 68_4, 68_10, 68_10, 68_46, 68_52, 68_71, 68_90, 68_155, 68_155, 68_156, 68_156, 68_157, 68_159, 70_4, 72_4, 72_6, 74_4, 76_12, 76_19, 76_25, 78_b_4, 80_3, 80_8, 81_6, 83_4, 83_6, 84_2, 84_3, 84_8, 85_1, 85_2, 88_2, 90_2, 90_3, 91_7, 95_8, 97_4, 97_9, 97_10, 98_2, 98_4, 100_1, 101_1, 101_4, 102_4, 103_2, 103_4, 109_4, 110_4, 112_2, 115_6","and, too, also; et … et, not only … but also"
ETIAM,"63_7, 63_61, 63_61, 64_55, 64_170, 68_91, 68_138, 73_4, 97_4","still, yet, even now; (introducing a more extreme case) even, actually; etiam atque etiam, ever more urgently, more and more"
ETRVSCVS/N,39_11,from Etruria (mod. Tuscany) the region of western Italy north of Rome
ETSI/2,"65_1, 72_5, 68_135","conj., although"
EVANS,64_391,uttering the Bacchic cry euan!
EVERTO,66_43,turn upside down; bring down
EVIRO,63_17,"unman, emasculate"
EVITO,116_7,"avoid, dodge"
EVMENIDES/N,64_193,"Kindly Spirits, Furies, Erinyes, punishers of outrage"
EVOE,"64_255, 64_255","interj., the ritual cry of Bacchants"
EVOLVO,66_74,"unwrap; make known, take the wraps off"
EVROPA/N,68_89,"daughter of Phoenician king Agenor, carried off by Zeus in the form of a bull; Europe"
EVROTAS/N,64_89,the river that runs through Sparta
EX,"4_15, 9_1, 10_2, 12_14, 16_3, 17_5, 17_18, 35_14, 50_17, 53_1, 59_4, 61_217, 62_32, 62_62, 63_36, 64_14, 64_18, 64_60, 64_66, 64_69, 64_73, 64_74, 64_91, 64_114, 64_125, 64_241, 64_244, 64_251, 64_257, 64_278, 64_297, 64_392, 65_8, 65_20, 66_8, 66_60, 68_36, 68_58, 68_146, 76_6, 76_22, 80_4, 87_4, 90_1, 90_3, 99_9, 99_13, 100_6, 109_4, 111_2, 111_4","out of, from, in accordance with"
EXAGITO,64_94,stir up
EXARDEO,64_93,"catch fire, blaze up"
EXCELSVS,64_363,lofty
EXCIDO/1,66_25,"fall off, drop out; lapse, fail"
EXCIO,"61_11, 63_42, 64_56",rouse (from sleep)
EXCIPIO,"15_13, 64_364","take out, exclude, except; receive"
EXCITO/1,"17_24, 39_3, 40_4","rouse, wake; stir up, arouse, excite"
EXCRVCIO,"76_10, 85_2, 99_12","torture, torment"
EXCVTIO,65_22,shake out
EXEDO/2,66_23,"eat up, eat away"
EXEO/1,80_3,"go out, leave"
EXERCEO/2,"61_235, 68_69, 71_3","exercise, keep busy, ply"
EXIMIVS,"64_25, 64_323, 111_2","excepted; exceptional, choice"
EXORIOR,64_271,rise up from
EXPALLESCO,64_100,turn pale
EXPATRO,29_16,"waste, squander"
EXPEDITVS,28_2,"unencumbered; lightened, as for action or travel"
EXPELLO,"44_7, 76_22",drive out
EXPENDO,28_7,weigh; pay out
EXPERIOR,21_6,try out
EXPERS,"64_338, 66_77, 66_91",having no share of; immune to
EXPETO,15_4,"request, desire"
EXPLEO,"34_20, 64_268","fill up, satisfy"
EXPLICO,"1_6, 53_3","explain, explicate"
EXPOLIO/2,1_2,"smooth down, polish"
EXPOLITVS,39_20,"smooth down, polish"
EXPOSCO,"64_190, 64_203","ask for, demand, beg"
EXPRIMO,"42_17, 65_16","squeeze out, extort; translate"
EXPROMO,"64_223, 65_3","bring out, express"
EXSECO,108_4,cut out
EXSEQVOR,63_15,"follow, pursue"
EXSILIO,"62_8, 62_9",spring forth
EXSILIVM,33_5,exile
EXSOLVO,64_77,"unfasten; discharge, pay"
EXSPECTO,"62_2, 12_11","anticipate, expect, look out for"
EXSPIRO,"64_87, 64_194","exhale, pant, emit (a fragrance); be exhaled"
EXSPVO,64_155,spit out
EXSTERNO,"64_71, 64_165","drive out of one's wits, madden, panic"
EXSTINGVO,64_400,"dead, deceased"
EXSTO,"64_18, 64_317",stand out
EXSVL,63_14,an exile
EXSVLTO,51_14,"spring up; let oneself go, run riot; show unrestrained pleasure, exult"
EXSVPERO,114_4,"surmound, exceed"
EXTENVO,64_295,"make thin, reduce, diminish"
EXTER,"11_2, 64_130, 64_169, 64_196, 64_217, 68_100, 76_18","farthest, the farthest part of; final"
EXTOLLO,"62_29, 62_50","lift up, raise"
EXTVRBO/2,64_108,"drive out, remove by force"
EXVRO,68_62,burnt; parched
EXVVIAE,"66_14, 66_62",spoils of a defeated enemy
FABA,23_21,bean
FABVLA/1,69_5,"talk, gossip; report"
FABVLLVS/N,"12_15, 12_17, 13_1, 13_14, 28_3, 47_3",a nomen gentile of the Roman gens Fabius (dim. of Fabius)
FACETIAE,"12_9, 50_8","cleverness, wit"
FACILE,61_222,easily
FACILIS,"38_4, 62_11",easy
FACINVS,"66_27, 81_6, 110_4","deed; evil deed, wrong, crime"
FACIO,"4_23, 5_10, 6_14, 10_13, 10_17, 13_14, 14_4, 17_17, 21_9, 21_13, 22_3, 30_6, 30_12, 30_12, 36_16, 37_19, 42_13, 45_24, 47_6, 50_16, 62_24, 63_78, 63_79, 63_82, 63_89, 64_9, 64_231, 66_47, 67_6, 67_12, 67_13, 67_16, 67_36, 68_38, 68_46, 68_50, 73_3, 74_2, 74_5, 74_6, 75_4, 76_8, 76_8, 76_16, 81_6, 85_1, 88_1, 88_3, 97_9, 99_7, 102_4, 104_4, 109_3, 110_2, 110_4, 110_5, 113_2","do, make, achieve, attain, reach"
FACTVM,"3_16, 9_7, 23_10, 30_4, 30_9, 63_45, 64_192, 64_203, 64_348, 65_9, 66_37","deed, something done"
FAGVS,64_289,beech–tree
FALERNVM/N,27_1,"Falernian wine, from a northern district of Campania"
FALLAX,"30_4, 64_56, 64_151","treacherous, deceptive"
FALLO,"22_18, 30_3, 76_4","trick, deceive, mislead; pass., err"
FALSIPARENS,68_112,having a pretended father; falsely fathered
FALSO/2,114_1,"wrongly, falsely"
FALSVS,"14_16, 30_1, 66_16, 67_20, 67_48",untrue; deceitful
FALX,64_41,a curved knife for pruning trees ad vines
FAMA,"61_62, 61_230, 78_b_4, 80_5",fame; rumor
FAMES,"28_5, 47_2",hunger; famine
FAMVLA,"63_68, 63_90","servant, slave"
FAMVLOR,64_161,be a servant
FAMVLVS/1,"63_52, 66_57","servant, slave"
FANDVS,64_405,"speakable, proper, lawful"
FARCIO,28_13,stuff
FAS,"51_2, 89_5","indecl. n., that which is right or permissible by divine law; meet and right, fitting, proper"
FASCINO,7_12,to cast a fascinum or spell upon; bewitch
FASTVS/1,55_14,"conceit, arrogance"
FATEOR,"6_5, 64_349","concede, admit, confess"
FATVM,"15_17, 64_245, 64_321, 64_326, 65_14, 66_51",a prophetic utterance; fate
FATVVS/2,"83_2, 98_2","feeble minded, silly, foolish, asinine"
FAVEO,"13_2, 100_5","be well–disposed, show favor to (w/dat.)"
FAVONIVS/N,"26_2, 64_282","the west wind, zephyr"
FAVSTVS,64_329,"fortunate, lucky"
FAX,"61_77, 61_98, 61_121",torch
FEBRICVLOSVS,6_4,"feverish, fever–ridden"
FECVNDVS,"64_282, 113_4","productive of offspring; fertile, fruitful"
FELIX,"62_30, 64_25, 64_373, 64_382, 68_155, 100_8, 107_7","fruitful; lucky, prosperous; happy"
FELLO,59_1,suck milk; perform oral sex on a man
FEMELLA,55_7,"woman, girl (dim. of femina)"
FEMINA,"61_88, 61_187, 64_143, 69_1",woman
FEMVR,69_2,thigh
FERA,"63_53, 64_152, 114_3",wild animal
FERO,"2_b_1, 4_19, 11_13, 28_5, 29_5, 29_9, 30_10, 31_3, 44_20, 55_13, 58_b_2, 61_26, 61_43, 62_20, 63_16, 63_52, 63_58, 63_68, 63_79, 64_19, 64_34, 64_99, 64_173, 64_212, 64_222, 64_280, 64_283, 64_288, 66_35, 66_41, 67_5, 67_7, 67_19, 68_101, 68_109, 68_118, 68_136, 68_154, 69_5, 76_18, 78_b_3, 99_3, 110_4, 114_2","bear, carry; endure, withstand; say; take, accept"
FEROX,"63_78, 63_83, 64_73, 64_247",fierce
FERREVS,"17_26, 42_17","made of iron; hard, harsh; shameless, brazen"
FERRVGO,64_227,rust; any color from reddish purple to nearly black
FERRVM,"64_355, 64_369, 66_42, 66_47, 66_50","iron, steel; sword"
FERVIDVS,64_218,"hot; fervent, passionate, lusty"
FERVS/2,"60_5, 61_56, 63_40, 63_57, 63_85, 63_89","fierce, wild, savage; inhuman, cruel"
FESCENNINVS/A,61_127,"of Fescennia, a town in Etruria famous for its ribald verses; ribald, obscene"
FESSVS,"31_9, 64_189, 64_366","tired, exhausted"
FESTVS,"64_388, 66_90","festal, holiday"
FETVS/1,65_3,"parturition, birth; offspring, fruit"
FICTVS,62_36,"made up, sham, false, lying"
FIDELIS/2,"45_23, 64_144","faithful, worthy of trust"
FIDES/2,"30_6, 34_1, 64_191, 67_8, 76_3, 87_3, 102_2, 30_11","tutelage, faith, trust; trustworthiness; promise"
FIDVS,"64_182, 91_1, 102_1","faithful, loyal, devoted"
FIGO,66_61,set
FIGVRA,"63_62, 64_50, 64_220, 64_265","form, shape, aspect, appearance"
FILIA,64_117,daughter
FILIVS,"33_2, 33_4, 33_8, 37_18, 39_4, 78_2",son
FILVM,"64_113, 64_312, 64_317, 64_377","thread, string, filament"
FINGO,"58_b_1, 66_50","shape, mold, make"
FINIO,64_31,mark out the boundaries; finish
FINIS,"21_13, 61_73, 64_3, 64_217, 66_12, 66_36",boundary; end; (pl.) territory
FIO,"8_6, 17_5, 22_5, 66_93, 68_34, 73_2, 75_3, 80_2, 85_2, 89_6","to take place, happen; to be made or done, become"
FIRMANVS/N,114_1,"of Firmum, the home town of Mentula"
FIRMO,"62_27, 62_41",strengthen
FLAGELLVM,"25_11, 62_52","whip, lash; the whiplike shoot of a vine"
FLAGITIVM,67_42,"disgrace, dishonor; shameful act, outrage"
FLAGITO,55_9,"beset with demands, importune"
FLAGRANS,64_91,"flaming, burning, intense"
FLAGRO,"67_25, 68_73, 68_139",burn
FLAMEN/2,"64_9, 64_107, 64_239, 64_272","a blast or gust of wind; wind, breeze"
FLAMMA,"51_10, 61_178, 62_27, 64_92, 90_6, 100_7","flame, fire"
FLAMMEVM,"61_8, 61_122",the flame–colored veil worn by a Roman bride at her wedding
FLAMMEVS,"64_341, 66_3",fiery; swift as fire
FLAMMO,64_291,burning
FLATVS,"26_2, 64_269","blowing, breath, breeze"
FLAVENS,64_354,yellow
FLAVIVS/N,6_1,"a Roman nomen gentile, applicable to a member of the Flavian gens"
FLAVVS,"64_63, 64_98, 66_62, 67_33, 68_130","yellow, gold–colored, blonde"
FLEBILIS,66_22,"worthy of tears, lamentable"
FLECTO,"64_136, 64_303","bend; turn, avert"
FLEO,"3_18, 39_5, 61_85, 61_86, 96_4","weep, cry; weep for, mourn"
FLETVS,"39_3, 64_242, 68_55, 99_5, 101_9",weeping; tears
FLEXANIMVS,64_330,persuasive
FLEXVS,64_114,"a bending, turning, curve"
FLORENS,64_251,"flowering; in the flower of one's youth; fresh, vigorous"
FLORIDVLVS,61_193,"full of flowers, flowery"
FLORIDVS,"61_21, 61_57, 63_66, 68_16","full of flowers, flowery"
FLOS,"11_23, 17_14, 61_6, 61_93, 62_39, 62_46, 63_64, 64_282, 64_402, 100_2",flower; youthful beauty; the finest specimen of a type or class
FLOSCVLVS,24_1,flower; youthful beauty; the finest specimen of a type or class (dim. of flos)
FLVCTVO,"64_62, 65_4",surge like a wave; be in turmoil
FLVCTVS,"64_3, 64_67, 64_98, 66_63, 68_13, 84_11",wave
FLVENTISONVS,64_52,resounding with the noise of the sea
FLVITO,64_68,"flow; float, drift"
FLVMEN,"64_89, 64_281, 64_360, 67_33",river
FOCVS,68_102,hearth
FODIO,68_111,pierce; dig
FOEDO,64_224,"make foul, soil"
FOEDVS/1,"64_335, 64_373, 76_3, 87_3, 109_6","any formal agreement or bond, incl. marriage and (sometimes) other sexual unions"
FOR,66_71,"speak, say, tell"
FORAS,32_6,"to the outside, out (w/ vbs. of motion)"
FORIS/1,61_168,the door of a building
FORIS/2,15_12,"outside, away from home"
FORMA,64_175,"appearance; beauty, good looks"
FORMIANVS/N,"41_4, 43_5, 57_4","of Formiae (e.g., Mamurra)"
FORMO,64_313,"shape, form"
FORMOSVS,"86_1, 86_3, 86_5","full of looks; handsome, beautiful"
FORS/1,"64_170, 64_366","chance, luck"
FORTASSE,85_1,perhaps
FORTE,"14_b_1, 55_1, 62_54, 65_18",by chance
FORTIS,"64_339, 66_28",strong; brave
FORTVNA,"64_218, 64_222, 68_1, 68_13, 101_5",fortune
FORVM/1,"10_2, 63_60","a public square, piazza"
FOSSA,17_19,ditch
FOSSOR,22_10,"a digger, agricultural laborer, ditchdigger"
FOVEO,29_21,"keep warm; cherish, coddle"
FRAGRO,"6_8, 68_144","fragrant, redolent, sweet–smelling"
FRANGO,"10_22, 64_109, 68_21",break
FRATER,"9_4, 12_7, 37_2, 64_399, 65_5, 65_10, 66_22, 68_20, 68_21, 68_91, 68_92, 68_93, 78_1, 100_3, 101_2, 101_6, 101_10, 111_4",brother
FRATERNVS,"64_181, 64_399, 68_19, 100_4, 101_9","of or from a brother, fraternal"
FRAVDO,110_7,"cheat, defraud, swindle; w/ abl., cheat out of"
FREMITVS,63_82,"a low roar, rumble, growl"
FREMO,63_86,"roar, rumble, growl"
FREQVENS,"44_13, 63_65","occurring at close intervals; crowded, thronged"
FREQVENTO,"64_32, 64_37","fill with people; occupy, crowd, throng"
FRETVM,"4_18, 64_14",any place where the sea boils up; sea
FRICO,23_22,"rub, chafe"
FRIGERO,61_30,"make cool, chill"
FRIGIDVLVS,64_131,"chilly, cold; (of language, rhetoric, etc.) feeble, tedious, frigid (dim. of frigidus)"
FRIGIDVS,"44_13, 68_29","chilly, cold; (of language, rhetoric, etc.) feeble, tedious, frigid"
FRIGVS,"23_14, 28_5, 44_20",cold
FRONDATOR,64_41,"a foliage tender, pruner"
FRONDOSVS,64_96,leafy
FRONS/1,"37_10, 64_194","forehead; front, façade"
FRONS/2,64_293,foliage
FRVCTVS,"55_19, 114_4","the enjoyment of something; satisfaction; crops, produce; yield, profit, revenue"
FRVSTRA,"21_7, 62_13, 64_103, 64_260, 68_75, 77_1, 77_2, 116_5",in vain
FRVSTROR,"64_115, 66_16","deceive, baffle; disappoint, frustrate"
FRVX,34_20,"fruit, crop"
FVCVS/1,64_49,seaweed; dye (orig. that derived from a seaweed)
FVFIDIVS/N,54_5,Roman nomen gentile
FVGA,64_186,"flight, escape"
FVGIO,"8_10, 10_29, 12_4, 37_11, 44_14, 63_42, 63_80, 63_89, 64_58, 64_183, 68_43, 69_10","run away, flee, escape, slip off"
FVGO,"64_398, 68_25","put to flight, drive off, expel"
FVLGEO,"64_44, 64_387, 68_71, 8_3, 8_8, 66_9, 66_61, 66_94, 68_134","shine brightly, gleam"
FVLGOR,64_100,"brightness, luster"
FVMO,64_393,"emit smoke, smoke"
FVNDITVS,64_93,from the bottom up; utterly
FVNDO/2,"64_125, 64_321, 66_17","pour, pour forth, emit, utter"
FVNDVS,44_1,"bottom, base; country estate, farm"
FVNESTO,64_201,pollute with death
FVNESTVS,"64_234, 64_246",associated with mourning; funereal
FVNIS,64_174,"rope; a ship's hawser, mooring rope"
FVNVS,"64_83, 64_83, 64_349, 64_401",funeral rites; a corpse; death
FVR,"33_1, 62_34","thief, robber"
FVRCILLA,105_2,a two–tined wooden pitchfork
FVRIBVNDVS,"63_31, 63_54","frantic, excited"
FVRIVS/N,"11_1, 16_2, 23_1, 23_24, 26_1",Roman nomen gentile
FVRO,"63_4, 64_124, 64_254","be mad or crazed; rage with passion, rave"
FVROR/1,"15_14, 46_2, 50_11, 63_38, 63_78, 63_79, 63_92, 64_54, 64_94, 64_197, 64_405, 68_129","passion, rage, frenzy"
FVRTIM,66_5,"secretly, stealthily"
FVRTIVVS,"7_8, 65_19, 67_41, 68_145","secret, furtive"
FVRTVM,"12_7, 68_136, 68_140",theft; any sneaky act
FVSVS/1,"64_314, 64_327, 64_333, 64_337, 64_342, 64_347, 64_352, 64_356, 64_361, 64_365, 64_371, 64_375, 64_378, 64_381",a weighted spindle on which yarn is wound and twisted
FVTVO,"71_5, 97_9","have sex with, fuck; copulate"
FVTVTIO,32_8,an act of copulation
GAIVS/N,10_30,"a Roman praenomen, regullarly abbr. to C."
GALLA/N,"63_12, 63_34",an emasculated priest of Cybele
GALLIA/N,"29_3, 29_20","Gaul, in Catullus' time a Roman province only in the north Italian portion south of the Alps (Cisalpine); Transalpine Gaul (comata Gallia) included what is now France and Belgium"
GALLICANVS/N,42_9,of Gaul (partic. Gallia Cisalpina or Narbonesis)
GALLICVS/A,11_11,of or belonging to Gaul
GALLVS/N,"78_1, 78_3, 78_5",cognomen
GANNIO,83_4,snarl; speak in a hostile manner
GAVDEO,"22_17, 31_12, 31_13, 55_20, 61_119, 64_46, 64_221, 68_103, 68_125, 95_10, 96_6","rejoice, take pleasure"
GAVDIVM,"61_117, 64_34, 64_95, 64_236, 66_16, 68_23, 68_95, 68_123, 76_6, 91_9","joy, delight, gladness"
GAZA,64_46,treasure
GELIDVS,63_53,frozen
GELLIVS/N,"74_1, 80_1, 88_1, 88_5, 89_1, 90_1, 91_1, 116_6","Roman nomen gentile, identified with L. Gellius Poplicola"
GEMELLVS/2,"4_27, 4_27, 57_6",twin (adj. or subst.)
GEMINVS,"51_11, 63_75","double, twin"
GEMO,"65_14, 66_18","groan, moan, lament"
GENA,68_56,cheek
GENER,"29_24, 62_65, 72_4",son–in–law
GENETRIX,63_50,"mother, creator"
GENIALIS,64_47,of or pertaining to a person's genius; of or pertaining to marriage
