TITLE,PRINCIPAL_PARTS,PRINCIPAL_PARTS_NO_DIACRITICALS,SIMPLE_LEMMA,SHORT_DEFINITION,LONG_DEFINITION,PART_OF_SPEECH,LOGEION_LINK,ROW_FILTERS,CONJUNCTION,DECLENSION,PROPER,REGULAR,STOPWORD
ΓΑΜΨΩΝΥΞ,γαμψῶνυξ –υχος,γαμψωνυξ –υχος,γαμψωνυξ,with crooked talons,with crooked talons,Adjective,http://logeion.uchicago.edu/index.html#γαμψῶνυξ,,,3,,,
ΓΑΝΑΩ,γανάω – – – – –,γαναω – – – – –,γαναω,"to shine, glitter, gleam","to shine, glitter, gleam",Verb,http://logeion.uchicago.edu/index.html#γανάω,,,,,,
ΓΑΝΟΩ,γανόω γανώσω ἐγάνωσα – – ἐγανώθην,γανοω γανωσω εγανωσα – – εγανώθην,γανοω,to make bright,to make bright,Verb,http://logeion.uchicago.edu/index.html#γανόω,,,,,,
ΓΑΝΥΜΑΙ,γάνυμαι γανύσσομαι γεγάνυμαι,γανυμαι γανυσσομαι γεγανυμαι,γανυμαι,to brighten up,to brighten up,Verb,http://logeion.uchicago.edu/index.html#γάνυμαι,,,,,,
ΓΑΝΥΜΗΔΗΣ,Γανυμήδης –ους ὁ,Γανυμηδης –ους ο,Γανυμηδης,Ganymede,Ganymede,Noun,http://logeion.uchicago.edu/index.html#Γανυμήδης,,,3,T,,
ΓΑΡ,γάρ,γαρ,γαρ,for (explanatory),for (explanatory),Conjunction,http://logeion.uchicago.edu/index.html#γάρ,,,,,,T
ΓΑΡΑΜΑΣ,γαράμας –αντος ὁ,γαραμας –αντος ο,γαραμας,Garamas (Name),"Garamas, the son of Apollo and Akakallis",Noun,http://logeion.uchicago.edu/index.html#γαραμας –αντος,,,3,T,,
ΓΑΡΓΑΡΟΝ,Γάργαρον –ου τό,Γαργαρον –ου το,Γαργαρον,"Gargarum, south peak of mount Ida in the Troad","Gargarum, south peak of mount Ida in the Troad",Noun,http://logeion.uchicago.edu/index.html#Γάργαρον,,,2,T,,
ΓΑΣΤΗΡ,γαστήρ –τρός ἡ,γαστηρ –τρος η,γαστηρ,"the paunch, belly","the paunch, belly",Noun,http://logeion.uchicago.edu/index.html#γαστήρ,,,3,,,
ΓΑΣΤΡΑ,γάστρα –ας ἡ,γαστρα –ας η,γαστρα,the lower part,the lower part,Noun,http://logeion.uchicago.edu/index.html#γάστρα,,,1,,,
ΓΑΥΛΟΣ,γαυλός –οῦ ὁ,γαυλος –ου ο,γαυλος,a milk-pail,a milk-pail,Noun,http://logeion.uchicago.edu/index.html#γαυλός,,,2,,,
ΓΕ,γε,γε,γε,at least; yes (emphatic),"at least, at any rate",Conjunction,http://logeion.uchicago.edu/index.html#γε,,,,,,T
ΓΕΓΩΝΑ,γέγωνα (perf. of γεγωνέω),γεγωνα (perf. of γεγωνεω),γεγωνα,to call out so as to be heard,to call out so as to be heard,Verb,http://logeion.uchicago.edu/index.html#γέγωνα,,,,,,
ΓΕΓΩΝΕΩ,γεγωνέω γεγωνήσω ἐγεγώνησα γέγωνα,γεγωνεω γεγωνησω εγεγώνησα γέγωνα,γεγωνεω,"to tell out, proclaim","to tell out, proclaim",Verb,http://logeion.uchicago.edu/index.html#γεγωνέω,,,,,,
ΓΕΓΩΝΙΣΚΩ,γεγωνίσκω γεγωνήσω ἐγεγώνησα γέγωνα,γεγωνισκω γεγωνησω εγεγώνησα γέγωνα,γεγωνισκω,to cry aloud,to cry aloud,Verb,http://logeion.uchicago.edu/index.html#γεγωνίσκω,,,,,,
ΓΕΙΝΟΜΑΙ,γείνομαι ––– ἐγεινάμην ––– ––– –––,γεινομαι ––– εγειναμην ––– ––– –––,γεινομαι,to be born; to beget,to be born; to beget,Verb,http://logeion.uchicago.edu/index.html#γείνομαι,,,,,,
ΓΕΙΤΩΝ,γείτων –ονος ὁ/ἡ,γειτων –ονος ο/η,γειτων,"one of the same land, neighbor","one of the same land, a neighbour",Noun,http://logeion.uchicago.edu/index.html#γείτων,,,3,,,
ΓΕΛΑΣΜΑ,γέλασμα –ατος τό,γελασμα -ατος το,γελασμα,a laugh,a laugh,Noun,http://logeion.uchicago.edu/index.html#γέλασμα,,,3,,,
ΓΕΛΑΣΤΗΣ,γελαστής –οῦ ὁ,γελαστης –ου ο,γελαστης,"a laugher, sneerer","a laugher, sneerer",Noun,http://logeion.uchicago.edu/index.html#γελαστής,,,1,,,
ΓΕΛΑΣΤΟΣ,γελαστός –ή –όν,γελαστος –η –ον,γελαστος,laughable,laughable,Adjective,http://logeion.uchicago.edu/index.html#γελαστός,,,1,,,
ΓΕΛΑΩ,γελάω γελάσομαι ἐγαλασα ––– –––  ἐγελάσθην,γελαω γελασομαι εγαλασα ––– –––  εγελασθην,γελαω,laugh,to laugh,Verb,http://logeion.uchicago.edu/index.html#γελάω,,,,,,
ΓΕΛΟΙΟΣ,γέλοιος –α –ον,γελοιος –α –ον,γελοιος,"causing laughter, laughable","causing laughter, laughable",Adjective,http://logeion.uchicago.edu/index.html#γέλοιος,,,1,,,
ΓΕΛΩΣ,γέλως –ωτος ὁ,γελως –ωτος ο,γελως,laughter,laughter,Noun,http://logeion.uchicago.edu/index.html#γέλως,,,3,,,
ΓΕΜΩ,γέμω ––– ––– ––– ––– –––,γεμω ––– ––– ––– ––– –––,γεμω,to be full,to be full,Verb,http://logeion.uchicago.edu/index.html#γέμω,,,,,,
ΓΕΝΕΑ,γενεά ᾶς Ion. γενεή ῆς ἡ,γενεα ας Ion. γενεη ης η,γενεα,"race, stock, family","race, stock, family",Noun,http://logeion.uchicago.edu/index.html#γενεά,,,1,,,
ΓΕΝΕΘΛΗ,γενέθλη –ης ἡ,γενεθλη –ης η,γενεθλη,"race, stock, family","race, stock, family",Noun,http://logeion.uchicago.edu/index.html#γενέθλη,,,1,,,
ΓΕΝΕΘΛΟΝ,γένεθλον –ου τό,γενεθλον –ου το,γενεθλον,"race, descent","race, descent",Noun,http://logeion.uchicago.edu/index.html#γένεθλον,,,2,,,
ΓΕΝΕΙΑΣ,γενειάς –άδος ἡ,γενειας –αδος η,γενειας,a beard,a beard,Noun,http://logeion.uchicago.edu/index.html#γενειάς,,,3,,,
ΓΕΝΕΙΑΩ,γενειάω γενειήσω ἐγενείησα,γενειαω γενειησω εγενειησα,γενειαω,"to grow a beard, get a beard","to grow a beard, get a beard",Verb,http://logeion.uchicago.edu/index.html#γενειάω,,,,,,
ΓΕΝΕΙΟΝ,γένειον –ου τό,γενειον –ου το,γενειον,"the part covered by the beard, the chin","the part covered by the beard, the chin",Noun,http://logeion.uchicago.edu/index.html#γένειον,,,2,,,
ΓΕΝΕΣΙΣ,γένεσις γενέσεως ἡ,γενεσις γενεσεως η,γενεσις,"origin, descent, generation","an origin, source, productive cause",Noun,http://logeion.uchicago.edu/index.html#γένεσις,,,3,,,
ΓΕΝΕΤΗ,γενετή –ῆς ἡ,γενετη –ης η,γενετη,the hour of birth,the hour of birth,Noun,http://logeion.uchicago.edu/index.html#γενετή,,,1,,,
ΓΕΝΕΤΗΣ,γενέτης –ου ὁ,γενετης –ου ο,γενετης,"the begetter, father, ancestor","the begetter, father, ancestor",Noun,http://logeion.uchicago.edu/index.html#γενέτης,,,1,,,
ΓΕΝΗΙΣ,γενηΐς –ίδος ἡ,γενηις –ιδος η,γενηις,"a pickaxe, mattock","a pickaxe, mattock",Noun,http://logeion.uchicago.edu/index.html#γενηΐς,,,3,,,
ΓΕΝΗΜΑ,γένημα –ατος τό,γενημα –ατος το,γενημα,produce,produce,Noun,http://logeion.uchicago.edu/index.html#γένημα,,,3,,,
ΓΕΝΝΑ,γέννα –ης ἡ,γεννα -ης η,γεννα,"descent, birth","descent, birth",Noun,http://logeion.uchicago.edu/index.html#γέννα,,,1,,,
ΓΕΝΝΑΙΟΣ,γενναῖος –α –ον,γενναιος –α –ον,γενναιος,high-born; noble,"noble, excellent",Adjective,http://logeion.uchicago.edu/index.html#γενναῖος,,,1,,,
ΓΕΝΝΑΣ,γέννας –ου ὁ,γεννας -ου ο,γεννας,"mother's brother, uncle","mother's brother, uncle",Noun,http://logeion.uchicago.edu/index.html#γέννας,,,3,,,
ΓΕΝΝΑΩ,γεννάω γεννήσω ἐγέννησα γεγέννηκα γεγέννημαι ἐγεννήθην,γενναω γεννησω εγεννησα γεγεννηκα γεγεννημαι εγεννηθην,γενναω,"beget, engender","to beget, engender",Verb,http://logeion.uchicago.edu/index.html#γεννάω,,,,,,
ΓΕΝΝΗΜΑ,γέννημα –ατος τό,γεννημα –ατος το,γεννημα,that which is produced,that which is produced,Noun,http://logeion.uchicago.edu/index.html#γέννημα,,,3,,,
ΓΕΝΝΗΤΗΣ,γεννητής –οῦ ὁ,γεννητης –ου ο,γεννητης,a parent,"a parent, producer",Noun,http://logeion.uchicago.edu/index.html#γεννητής,,,1,,,
ΓΕΝΟΣ,γένος –ους τό,γενος –ους το,γενος,"birth, offspring; race","race, stock, family",Noun,http://logeion.uchicago.edu/index.html#γένος,,,3,,,
ΓΕΝΤΟ,γέντο (defective aor. 3 sing),γεντο (defective aor. 3 sing),γεντο,he grasped,he grasped,Verb,http://logeion.uchicago.edu/index.html#γέντο,,,,,,
ΓΕΝΥΣ,γένυς –υος ἡ,γενυς –υος η,γενυς,"the jaw, side of the face, cheek; axe","the jaw, side of the face, cheek; axe",Noun,http://logeion.uchicago.edu/index.html#γένυς,,,3,,,
ΓΕΡΑΙΟΣ,γεραιός –ά –όν,γεραιος –α –ον,γεραιος,old,old,Adjective,http://logeion.uchicago.edu/index.html#γεραιός,,,1,,,
ΓΕΡΑΙΡΩ,γεραίρω γεραρῶ ἐγέραρα/ἐγέρηρα,γεραιρω γεραρω εγέραρα/εγέρηρα,γεραιρω,to honour,to honour,Verb,http://logeion.uchicago.edu/index.html#γεραίρω,,,,,,
ΓΕΡΑΙΣΤΟΣ,Γεραιστός –ου ὁ,Γεραιστος –ου ο,Γεραιστος,"Geraestus, name of the promontory at the S. extremity of Euboea, now Geresto","Geraestus, name of the promontory at the S. extremity of Euboea, now Geresto",Noun,http://logeion.uchicago.edu/index.html#Γεραιστός,,,2,T,,
ΓΕΡΑΝΕΙΑ,Γεράνεια –ας ἡ,Γεράνεια,Γεράνεια,Geranea,Geranea,Noun,http://logeion.uchicago.edu/index.html#Γεράνεια,,,1,T,,
ΓΕΡΑΝΟΣ,γέρανος –ου ἡ,γερανος –ου η,γερανος,a crane,a crane,Noun,http://logeion.uchicago.edu/index.html#γέρανος,,,2,,,
ΓΕΡΑΡΟΣ,γεραρός –ά –όν,γεραρος –α –ον,γεραρος,"majestic, venerable","majestic, venerable, worthy of respect",Adjective,http://logeion.uchicago.edu/index.html#γεραρός,,,1,,,
ΓΕΡΑΣ,γέρας –ως τό,γερας –ως το,γερας,prize,a gift of honour,Noun,http://logeion.uchicago.edu/index.html#γέρας,,,3,,,
ΓΕΡΗΝΙΟΣ,Γερήνιος –α –ον,Γερηνιος –α –ον,Γερηνιος,from Gerena,from Gerena,Adjective,http://logeion.uchicago.edu/index.html#Γερήνιος,,,1,T,,
ΓΕΡΜΑΝΙΟΙ,γερμάνιοι –ων οἱ,γερμανιοι –ων οι,γερμανιοι,Germans,Germans,Noun,http://logeion.uchicago.edu/index.html#Γερμάνιοι,,,2,T,,
ΓΕΡΟΥΣΙΟΣ,γερούσιος –α –ον,γερουσιος –α –ον,γερουσιος,for,for,Adjective,http://logeion.uchicago.edu/index.html#γερούσιος,,,1,,,
ΓΕΡΩΝ,γέρων –οντος ὁ,γερων –οντος ο,γερων,old man,"an old man (in apposition as adj., old)",Noun,http://logeion.uchicago.edu/index.html#γέρων,,,3,,,
ΓΕΡΩΝ/2,γέρων –οντος,γερων –οντος,γερων,old,"an old man (in apposition as adj., old)",Adjective,http://logeion.uchicago.edu/index.html#γέρων,,,3,,,
ΓΕΥΩ,γεύω γεύσω ἔγευσα ––– γέγευσμαι ἐγεύθην,γευω γευσω εγευσα ––– γέγευσμαι εγευθην,γευω,to give a taste of,to give a taste of,Verb,http://logeion.uchicago.edu/index.html#γεύω,,,,,,
ΓΕΦΥΡΑ,γέφυρα –ας ἡ,γεφυρα –ας η,γεφυρα,bridge,"a dyke, dam",Noun,http://logeion.uchicago.edu/index.html#γέφυρα,,,1,,,
ΓΕΦΥΡΟΩ,γεφυρόω γεφυρώσω ἐγεφύρωσα – – ἐγεφυρώθην,γεφυροω γεφυρωσω εγεφύρωσα – – εγεφυρώθην,γεφυροω,"to bridge over, make passable by a bridge","to bridge over, make passable by a bridge",Verb,http://logeion.uchicago.edu/index.html#γεφυρόω,,,,,,
ΓΕΩΜΟΡΟΣ,γεωμόρος ὁ,γεωμορος ο,γεωμορος,a dweller in or a worker of the land.,a dweller in or a worker of the land.,Noun,http://logeion.uchicago.edu/index.html#γεωμορος,,,2,,,
ΓΕΩΡΓΕΩ,γεωργέω,γεωργεω,γεωργεω,"to be a husbandman, farmer","to be a husbandman, farmer",Verb,http://logeion.uchicago.edu/index.html#γεωργέω,,,,,,
ΓΕΩΡΓΙΑ,γεωργία –ας ἡ,γεωργια,γεωργια,"tillage, agriculture, farming","tillage, agriculture, farming",Noun,http://logeion.uchicago.edu/index.html#γεωργία,,,1,,,
ΓΕΩΡΓΟΣ,γεωργός,γεωργος,γεωργος,tilling the ground,tilling the ground,Adjective,http://logeion.uchicago.edu/index.html#γεωργός,,,1,,,
ΓΗ,γῆ γῆς ἡ,γη γης η,γη,"earth, country",earth,Noun,http://logeion.uchicago.edu/index.html#γῆ,,,1,,,
ΓΗΓΕΝΗΣ,γηγενής –ές,γηγενης -ες,γηγενης,earthborn,earthborn,Adjective,http://logeion.uchicago.edu/index.html#γηγενής,,,3,,,
ΓΗΘΕΩ,γηθέω γηθήσω ἐγήθησα γέγηθα ––– –––,γηθεω γηθησω εγηθησα γέγηθα ––– –––,γηθεω,to rejoice,to rejoice,Verb,http://logeion.uchicago.edu/index.html#γηθέω,,,,,,
ΓΗΘΟΣΥΝΗ,γηθοσύνη –ης ἡ,γηθοσυνη –ης η,γηθοσυνη,"joy, delight","joy, delight",Noun,http://logeion.uchicago.edu/index.html#γηθοσύνη,,,1,,,
ΓΗΘΟΣΥΝΟΣ,γηθόσυνος [–η] –ον,γηθοσυνος [–η] –ον,γηθοσυνος,"joyful, glad at","joyful, glad at",Adjective,http://logeion.uchicago.edu/index.html#γηθόσυνος,,,1,,,
ΓΗΠΕΔΟΝ,γήπεδον –ου τό,γηπεδον -ου το,γηπεδον,a plot of ground,a plot of ground,Noun,http://logeion.uchicago.edu/index.html#γήπεδον,,,2,,,
ΓΗΡΑΙΟΣ,γηραιός [–ά] –όν,γηραιος [–α] –ον,γηραιος,"aged, in old age","aged, in old age",Adjective,http://logeion.uchicago.edu/index.html#γηραιός,,,1,,,
ΓΗΡΑΣ,γῆρας –ως τό,γηρας –ως το,γηρας,old age,old age,Noun,http://logeion.uchicago.edu/index.html#γῆρας,,,3,,,
ΓΗΡΑΣΚΩ,γηράσκω γηράσομαι/γηράσω ἐγήρασα γεγήρακα ––– –––,γηρασκω γηρασομαι/γηρασω εγηρασα γεγηρακα ––– –––,γηρασκω,"to grow old, become old","to grow old, become old",Verb,http://logeion.uchicago.edu/index.html#γηράσκω,,,,,,
ΓΗΡΟΒΟΣΚΟΣ,γηροβοσκός –όν,γηροβοσκος –ον,γηροβοσκος,"feeding, tending in old age","feeding, tending in old age",Adjective,http://logeion.uchicago.edu/index.html#γηροβοσκός,,,1,,,
ΓΗΡΥΣ,γῆρυς –υος ἡ,γηρυς –υος η,γηρυς,"voice, speech","voice, speech",Noun,http://logeion.uchicago.edu/index.html#γῆρυς,,,3,,,
ΓΗΡΥΩ,γηρύω γηρύσω ἐγήρυσα ––– ––– –––,γηρυω γηρυσω εγηρυσα ––– ––– –––,γηρυω,to sing,to sing,Verb,http://logeion.uchicago.edu/index.html#γηρύω,,,,,,
ΓΙΓΑΣ,γίγας –αντος ὁ,γιγας –αντος ο,γιγας,giant,mighty,Noun,http://logeion.uchicago.edu/index.html#γίγας,,,3,,,
ΓΙΓΑΣ/2,Γίγας –αντος ὁ,Γιγας –αντος ο,Γιγας,the Giants,the Giants,Noun,http://logeion.uchicago.edu/index.html#Γίγας,,,3,T,,
ΓΙΓΝΟΜΑΙ,γίγνομαι γενήσομαι ἐγενόμην γέγονα γεγένομαι –––,γιγνομαι γενησομαι εγενομην γεγονα γεγενομαι –––,γιγνομαι,"be born, become, happen","be born, become, happen",Verb,http://logeion.uchicago.edu/index.html#γίγνομαι,,,,,,
ΓΙΓΝΩΣΚΩ,γιγνώσκω γνώσομαι ἔγνων ἔγνωκα ἔγνωσμαι ἐγνώσθην,γιγνωσκω γνωσομαι εγνων εγνωκα εγνωσμαι εγνωσθην,γιγνωσκω,"know, perceive","to learn to know, to perceive, mark, learn",Verb,http://logeion.uchicago.edu/index.html#γιγνώσκω,,,,,,
ΓΙΓΩΝΟΣ,Γίγωνος –ου ἡ,Γιγωνος,Γιγωνος,Gigonus (city),"Gigonus, a city in Macedonia",Noun,http://logeion.uchicago.edu/index.html#Γίγωνος,,,2,T,,
ΓΛΑΓΟΣ,γλάγος –ους τό,γλαγος –ους το,γλαγος,milk,milk,Noun,http://logeion.uchicago.edu/index.html#γλάγος,,,3,,,
ΓΛΑΚΤΟΦΑΓΟΣ,γλακτοφάγος –ον,γλακτοφαγος –ον,γλακτοφαγος,living on milk,living on milk,Adjective,http://logeion.uchicago.edu/index.html#γλακτοφάγος,,,1,,,
ΓΛΑΥΚΕΤΗΣ,Γλαυκέτης –ου ὁ,Γλαυκετης,Γλαυκετης,Glaucetes,Glaucetes (male name),Noun,http://logeion.uchicago.edu/index.html#Γλαυκέτης,,,1,T,,
ΓΛΑΥΚΗ,Γλαύκη –ης ἡ,Γλαυκη –ης η,Γλαυκη,Glauce,Glauce,Noun,http://logeion.uchicago.edu/index.html#Γλαύκη,,,1,T,,
ΓΛΑΥΚΙΑΩ,γλαυκιάω,γλαυκιαω,γλαυκιαω,glaring fiercely,glaring fiercely,Verb,http://logeion.uchicago.edu/index.html#γλαυκιάω,,,,,,
ΓΛΑΥΚΟΣ,γλαῦκος –ου ὁ,γλαυκος –ου ο,γλαυκος,fish of grey colour,fish of grey colour,Noun,http://logeion.uchicago.edu/index.html#γλαῦκος,,,2,,,
ΓΛΑΥΚΟΣ/2,γλαυκός –ή –όν,γλαυκος –η –ον,γλαυκος,"gleaming, silvery","gleaming, silvery",Adjective,http://logeion.uchicago.edu/index.html#γλαυκός,,,1,,,
ΓΛΑΥΚΟΣ/3,Γλαῦκος –ου ὁ,Γλαυκος –ου ο,Γλαυκος,Glaucus,Glaucus,Noun,http://logeion.uchicago.edu/index.html#Γλαῦκος,,,2,T,,
ΓΛΑΥΚΩΝ,Γλαύκων –ωνος ὁ,Γλαύκων,Γλαύκων,Glaucon,Glaucon,Noun,http://logeion.uchicago.edu/index.html#Γλαύκων,,,3,T,,
ΓΛΑΥΚΩΝΙΔΗΣ,Γλαυκωνίδης –ου ὁ,Γλαυκωνιδης,Γλαυκωνιδης,Glauconides ,Glauconides (male name),Noun,http://logeion.uchicago.edu/index.html#Γλαυκωνίδης,,,1,T,,
ΓΛΑΥΚΩΠΙΣ,γλαυκῶπις –ιδος,γλαυκωπις –ιδος,γλαυκωπις,gleaming - eyed,"with gleaming eyes, brighteyed",Adjective,http://logeion.uchicago.edu/index.html#γλαυκῶπις,,,3,,,
ΓΛΑΦΥΡΑΙ,Γλαφύραι –ῶν αἱ,Γλαφυραι –ων αι,Γλαφυραι,Glaphyrae,Glaphyrae,Noun,http://logeion.uchicago.edu/index.html#Γλαφύραι,,,1,T,,
ΓΛΑΦΥΡΟΣ,γλαφῠρός –ά –όν,γλαφῠρος –α –ον,γλαφῠρος,hollow,"hollow, hollowed",Adjective,http://logeion.uchicago.edu/index.html#γλαφῠρός,,,1,,,
ΓΛΗΝΗ,γλήνη –ης ἡ,γληνη –ης η,γληνη,the pupil,the pupil,Noun,http://logeion.uchicago.edu/index.html#γλήνη,,,1,,,
ΓΛΗΝΟΣ,γλῆνος –ους τό,γληνος –ους το,γληνος,"things to stare at, shows, wonders","things to stare at, shows, wonders",Noun,http://logeion.uchicago.edu/index.html#γλῆνος,,,3,,,
ΓΛΙΣΑΣ,Γλισᾶς –ᾶντος ὁ,Γλισας –αντος ο,Γλισας,Glisas,Glisas,Noun,http://logeion.uchicago.edu/index.html#Γλισᾶς,,,3,T,,
ΓΛΟΥΤΟΣ,γλουτός –οῦ ὁ,γλουτος –ου ο,γλουτος,the rump,the rump,Noun,http://logeion.uchicago.edu/index.html#γλουτός,,,2,,,
ΓΛΥΚΙΟΣ,γλύκιος –α –ον,γλυκιος –α –ον,γλυκιος,"sugary, sickly","sugary, sickly",Adjective,http://logeion.uchicago.edu/index.html#γλύκιος,,,1,,,
ΓΛΥΚΥΘΥΜΟΣ,γλυκύθυμος –ον,γλυκυθυμος –ον,γλυκυθυμος,"sweet-minded, sweet of mood","sweet-minded, sweet of mood",Adjective,http://logeion.uchicago.edu/index.html#γλυκύθυμος,,,1,,,
ΓΛΥΚΥΣ,γλυκύς γλυκεῖα γλυκύ,γλυκυς γλυκεια γλυκυ,γλυκυς,"sweet, pleasant",sweet,Adjective,http://logeion.uchicago.edu/index.html#γλυκύς,,,2,,,
ΓΛΥΦΙΣ,γλυφίς –ίδος ἡ,γλυφις –ιδος η,γλυφις,the notched end,the notched end,Noun,http://logeion.uchicago.edu/index.html#γλυφίς,,,3,,,
ΓΛΩΣΣΑ,γλῶσσα –ης ἡ,γλωσσα –ης η,γλωσσα,"tongue, language",the tongue,Noun,http://logeion.uchicago.edu/index.html#γλῶσσα,,,1,,,
ΓΛΩΧΙΝ,γλωχίν –ῖνος ἡ,γλωχιν –ινος η,γλωχιν,any projecting point,any projecting point,Noun,http://logeion.uchicago.edu/index.html#γλωχίν,,,3,,,
ΓΝΑΘΜΟΣ,γναθμός –οῦ ὁ,γναθμος –ου ο,γναθμος,the jaw,the jaw,Noun,http://logeion.uchicago.edu/index.html#γναθμός,,,2,,,
ΓΝΑΘΟΣ,γνάθος –ου ἡ,γναθος -ου η,γναθος,the jaw,the jaw,Noun,http://logeion.uchicago.edu/index.html#γνάθος,,,2,,,
ΓΝΑΜΠΤΟΣ,γναμπτός –ή –όν,γναμπτος –η –ον,γναμπτος,"curved, bent","curved, bent",Adjective,http://logeion.uchicago.edu/index.html#γναμπτός,,,1,,,
ΓΝΑΜΠΤΩ,γνάμπτω γνάμψω ἔγναμψα,γναμπτω γναμψω εγναμψα,γναμπτω,to bend,to bend,Verb,http://logeion.uchicago.edu/index.html#γνάμπτω,,,,,,
ΓΝΗΣΙΟΣ,γνήσιος –α –ον,γνησιος –α –ον,γνησιος,"(born in wedlock); genuine, legitimate","(born in wedlock); genuine, legitimate",Adjective,http://logeion.uchicago.edu/index.html#γνήσιος,,,1,,,
ΓΝΥΞ,γνύξ,γνυξ,γνυξ,with bent knee,with bent knee,Adverb,http://logeion.uchicago.edu/index.html#γνύξ,,,,,,
ΓΝΩΜΗ,γνώμη –ης ἡ,γνωμη –ης η,γνωμη,"thought, opinion","a means of knowing, a mark, token",Noun,http://logeion.uchicago.edu/index.html#γνώμη,,,1,,,
ΓΝΩΜΩΝ,γνώμων –ονος ὁ,γνωμων,γνωμων,one that knows,one that knows,Noun,http://logeion.uchicago.edu/index.html#γνώμων,,,3,,,
ΓΝΩΡΙΖΩ,γνωρίζω γνωριῶ ἐγνώρισα ἐγνώρικα ἐγνώρισμαι ἐγνωρίσθην,γνωριζω γνωριω εγνώρισα εγνώρικα εγνώρισμαι εγνωρίσθην,γνωριζω,"to make known, point out, explain","to make known, point out, explain",Verb,http://logeion.uchicago.edu/index.html#γνωρίζω,,,,,,
ΓΝΩΡΙΜΟΣ,γνώριμος –ον,γνωριμος –ον,γνωριμος,"well-known, familiar; the notables (opp. δῆμος)","well-known, familiar; the notables (opp. δῆμος)",Adjective,http://logeion.uchicago.edu/index.html#γνώριμος,,,1,,,
ΓΝΩΣΤΟΣ,γνωστός –ή –όν,γνωστος –η –ον,γνωστος,"known, to be known","known, to be known",Adjective,http://logeion.uchicago.edu/index.html#γνωστός,,,1,,,
ΓΝΩΤΟΣ,γνωτός –ή –όν,γνωτος –η –ον,γνωτος,"perceived, understood, known","perceived, understood, known",Adjective,http://logeion.uchicago.edu/index.html#γνωτός,,,1,,,
ΓΟΑΩ,γοάω γοήσω ἐγόησα/γόον ––– ––– ἐγοήθην,γοαω γοησω εγοησα/γοον ––– ––– εγοηθην,γοαω,"to wail, groan, weep","to wail, groan, weep",Verb,http://logeion.uchicago.edu/index.html#γοάω,,,,,,
ΓΟΓΓΥΛΟΣ,γογγύλος –η –ον,γογγυλος,γογγυλος,round,round,Adjective,http://logeion.uchicago.edu/index.html#γογγύλος,,,1,,,
ΓΟΜΟΣ,γόμος –ου ὁ,γομος –ου ο,γομος,"a ship's freight, burden, tonnage","a ship's freight, burden, tonnage",Noun,http://logeion.uchicago.edu/index.html#γόμος,,,2,,,
ΓΟΜΦΟΣ,γόμφος –ου ὁ,γομφος –ου ο,γομφος,a bolt,a bolt,Noun,http://logeion.uchicago.edu/index.html#γόμφος,,,2,,,
ΓΟΝΕΥΣ,γονεύς –έως ὁ,γονευς –εως ὁ,γονευς,"father, ancestor","a begetter, father",Noun,http://logeion.uchicago.edu/index.html#γονεύς,,,3,,,
ΓΟΝΗ,γονή –ῆς ἡ,γονη –ης η,γονη,"produce, offspring","produce, offspring",Noun,http://logeion.uchicago.edu/index.html#γονή,,,1,,,
ΓΟΝΟΕΣΣΑ,Γονόεσσα –ας ἡ,Γονοεσσα –ας η,Γονοεσσα,Gonussa,Gonussa,Noun,http://logeion.uchicago.edu/index.html#Γονόεσσα,,,1,T,,
ΓΟΝΟΣ,γόνος –ου ὁ,γονος –ου ο,γονος,"that which is begotten, offspring, a child","that which is begotten, offspring, a child",Noun,http://logeion.uchicago.edu/index.html#γόνος,,,2,,,
ΓΟΝΥ,γόνυ γόνατος τό,γονυ γονατος το,γονυ,knee,the knee,Noun,http://logeion.uchicago.edu/index.html#γόνυ,,,3,,,
ΓΟΟΣ,γόος –ου ὁ,γοος –ου ο,γοος,"wailing, lamentation","weeping, wailing, groaning, howling, mourning, lamentation",Noun,http://logeion.uchicago.edu/index.html#γόος,,,2,,,
ΓΟΡΓΕΙΟΣ,Γόργειος –α –ον,Γοργειος –α –ον,Γοργειος,of the Gorgon,of the Gorgon,Adjective,http://logeion.uchicago.edu/index.html#Γόργειος,,,1,T,,
ΓΟΡΓΟΝΕΙΟΣ,γοργόνειος [–α] –ον,γοργονειος [-α] -ον,γοργονειος,a Gorgon-mask,a Gorgon-mask,Adjective,http://logeion.uchicago.edu/index.html#Γοργόνειος,,,1,T,,
ΓΟΡΓΥΘΙΩΝ,Γοργυθίων –ωνος ὁ,Γοργυθιων –ωνος ο,Γοργυθιων,Gorgythion,Gorgythion,Noun,http://logeion.uchicago.edu/index.html#Γοργυθίων,,,3,T,,
ΓΟΡΓΩ,γοργώ –οῦς ἡ,γοργω -ους η,γοργω,the Gorgon,the Gorgon,Noun,http://logeion.uchicago.edu/index.html#Γοργώ,,,3,T,,
ΓΟΡΓΩΠΟΣ,γοργωπός –όν,γοργωπος –ον,γοργωπος,fierce-eyed,fierce-eyed,Adjective,http://logeion.uchicago.edu/index.html#γοργωπός,,,1,,,
ΓΟΡΔΙΑΣ,γορδίας –ου ὁ,γορδιας –ου ο,γορδιας,Gordias,Gordias,Noun,http://logeion.uchicago.edu/index.html#Γορδίας,,,1,T,,
